Average TCF4A,Average TCF4D,Average TCF4I,Average TCF4M,Average TCF20A,Average TCF 20 D,Average TCF 20 I,Average TCF 20 M,Average TCF36A,Average TCF36D,Average TCF36I,Average TCF36M,Average TCF44A,Average TCF44D,Average TCF44I,Average TCF44M,Average TCF44hA,Average TCF44hD,Average TCF44hI,Average TCF44hM,Average TCF72D,Average TCF72I,Average TCF72M,Average TCF72mA,Average TCF72mD,Average TCF72mI,Average TCF72mM,Average TCF72hA,Average TCF72hI,`
6.965,1.97,1.77,5.915,0,1.155,7.345,3.08,0.49,0,0,0,0.783333333,0,0,0,0.326666667,0,0,0.343333333,4.59,1.476666667,19.9,1.64,0.516666667,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46
0.645,7.54,10.015,12.14,5.19,2.735,7.46,5.235,0,0.58,0.265,1.59,0.42,2.12,1.313333333,0,0,0,0,0.023333333,0,7.256666667,14.87,1.13,0.62,0,0.596666667,3.86,1.556666667,2.04
14.3,7.095,16.825,22.335,4.395,4.495,21.635,10.51,1.105,0.545,0,3.73,0.513333333,0.696666667,0,2.123333333,1.103333333,1.19,3.17,3.156666667,27.045,14.69,29.17333333,3.625,4.47,2.19,1.043333333,4.825,2.37,2.836666667
0,0,0,0.01,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0.583333333,0,2.746666667,1.126666667,0,0,0,0,0,0,1.6,0,0.606666667,4.906666667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.88,1.37,1.1,3.135,0,0,4.485,2.08,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0.173333333,3.763333333,1.845,0,0.38,0.553333333,0,0,0.553333333
2.655,1.095,7.165,6.865,0.675,2.255,4.11,1.05,0,0.555,0,1.26,0,0.313333333,0,1.466666667,1.936666667,4.85,0.476666667,0,3.235,1.95,9.25,0.935,0.886666667,0.745,1.436666667,2.225,1.666666667,0.53
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.425,2.63,2.7,4.61,0,0,7.705,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,3.266666667,5.63,1.82,0,2.235,0,1.51,0.646666667,0
2.69,0,4.975,2.23,0,0,0,0,0,0,1.075,0,0.85,0,0,1.07,0,0,0,0,6.65,0,3.793333333,1.785,0,0,0,0,0,0
7.23,5.96,12.27,7.305,3.535,6.775,11.56,0,0.985,0.505,1.48,0,3.06,0.646666667,0.596666667,1.693333333,0,2.2,0,0.643333333,2.94,18.97666667,14.22666667,2.455,0,0.55,0,0.75,1.276666667,0
4.59,6.07,2.685,4.66,3.77,0.635,3.475,0.635,1.55,0,0.515,0,0.896666667,0,0.57,0,0,0,0.923333333,0,0,1.586666667,15.54,0.86,1.613333333,0,0,0,0.36,0
1.84,0.925,1.62,1.98,1.155,0,4.445,0,0,0.555,0.44,0.65,0.336666667,0,0,0,0,0,0.403333333,0,0,2.523333333,11.30333333,0,0,0.26,0,0,0,0
63.275,40.84,53.88,67.54,19.615,14.77,57.505,21.435,4.77,5.455,1.41,5.16,2.043333333,1.356666667,3.363333333,2.126666667,0.31,0,0,0,11.05,12.89,50.03333333,2.545,3.496666667,3.95,5.926666667,2.905,3.513333333,3.766666667
0,0,0,0,0,0,0,0,1.835,0.46,0.465,4.515,0,0,0,0,0.303333333,1.01,0,0.643333333,0,0,0,3.845,0.736666667,0,0.86,0,2.23,1.803333333
5.03,1.105,4.665,3.14,0.43,1.885,4.85,1.025,0.39,0.43,0,0.775,0.5,0.933333333,0.933333333,0,0.12,0,0,0,0,3.486666667,7.26,2.79,0.31,0.81,0.586666667,1.835,0.806666667,0.703333333
22.105,23.025,11.79,19.03,13.285,9.355,28.99,3.545,5.705,7.905,1.87,3.995,1.74,3.236666667,0,5.443333333,0,0,0.333333333,1.01,9.395,5.273333333,23.90666667,0.765,3.393333333,2.22,1.336666667,3.205,0.693333333,0.46
4.8,0,3.365,11.175,5.315,2.335,12.49,6.04,0,0,0.485,0,0.403333333,1.59,0.99,0,0.416666667,1.05,0,0,5.6,2.833333333,12.44333333,0,2.936666667,0.76,0.826666667,0.59,0.336666667,1.653333333
9.155,0,11.835,19.255,2.45,7.945,7.245,7.955,0.51,0,1.505,0.715,2.566666667,1.06,0.463333333,4.636666667,0.456666667,2.28,0.446666667,2.84,3.045,30.23666667,38.38666667,5.19,1.81,0,2.42,6.18,4.886666667,3.396666667
11.1,2.935,15.33,10.865,5.805,4.165,18.625,5.655,1.29,0,0.82,0,0.42,0.883333333,3.523333333,1.536666667,0.94,0.96,0,0.563333333,0,10.62,21.06333333,0,0.333333333,2.365,2.466666667,1.74,1.17,0.996666667
0,0,0,0,0,0,0,0,0,0,0.26,1.065,0,0,0,0,0,0,0,0.33,0,0,0,0.75,0,0.63,0,0,0.603333333,0.9
8.41,5.075,12.59,22.51,12.275,11.265,11.445,5.365,0.505,0.515,1.015,1.29,2.246666667,4.183333333,3.786666667,3.213333333,1.846666667,1.12,0.356666667,3.1,18.4,15.94666667,50.88333333,9.265,1.646666667,3.065,4.34,5.695,4.673333333,0.426666667
